Year,State,Age Group,Total ,Male,Female
,,,('000),('000),('000)
2015,Perlis, 25 - 29,22.1,12.4,9.7
2015,Perlis, 30 - 34,17,8.5,8.4
2015,Perlis, 35 - 39,12.9,6.3,6.5
2015,Perlis, 40 - 44,12.2,5.5,6.7
2015,Perlis, 45 - 49,13.4,6.5,7
2015,Perlis, 50 - 54,13.5,6.6,7
2015,Perlis, 55 - 59,12.2,5.8,6.3
2015,Perlis, 60 - 64,10.1,4.8,5.3
2015,Perlis, 65 - 69,7.7,3.7,4
2015,Perlis, 70 - 74,5.1,2.4,2.7
2015,Perlis, 75 - 79,3.8,1.7,2.1
2015,Perlis, 80 - 84,1.9,0.8,1.1
2015,Perlis, 85+,1.7,0.7,1
2015,Selangor, 0 - 4,533.4,280.5,252.9
2015,Selangor, 5 - 9,474.2,243.5,230.7
2015,Selangor, 10 - 14,466.4,238.6,227.8
2015,Selangor, 15 - 19,447.6,229.7,217.9
2015,Selangor, 20 - 24,590.1,306.8,283.3
2015,Selangor, 25 - 29,734.7,385.1,349.6
2015,Selangor, 30 - 34,682.5,358.8,323.7
2015,Selangor, 35 - 39,512.9,272.4,240.5
2015,Selangor, 40 - 44,422.6,221.3,201.3
2015,Selangor, 45 - 49,349.8,182.9,166.9
2015,Selangor, 50 - 54,294.4,155.7,138.7
2015,Selangor, 55 - 59,228.9,119.2,109.7
2015,Selangor, 60 - 64,168.3,86.5,81.9
2015,Selangor, 65 - 69,125.1,60.4,64.6
2015,Selangor, 70 - 74,65.6,32.4,33.1
2015,Selangor, 75 - 79,43,20.5,22.5
2015,Selangor, 80 - 84,19.6,9.3,10.3
2015,Selangor, 85+,18.8,8.8,10
2015,Terengganu, 0 - 4,127.8,65.5,62.3
2015,Terengganu, 5 - 9,113.8,58.1,55.7
2015,Terengganu, 10 - 14,118.8,61.1,57.7
2015,Terengganu, 15 - 19,120.2,61.2,58.9
2015,Terengganu, 20 - 24,126.1,64.8,61.2
2015,Terengganu, 25 - 29,103,55.1,47.9
2015,Terengganu, 30 - 34,77.4,41.7,35.8
2015,Terengganu, 35 - 39,63.3,32.5,30.8
2015,Terengganu, 40 - 44,58.8,28.7,30.1
2015,Terengganu, 45 - 49,56.9,27.6,29.3
2015,Terengganu, 50 - 54,54.8,26.9,28
2015,Terengganu, 55 - 59,46,22.7,23.3
2015,Terengganu, 60 - 64,33.8,16.9,16.9
2015,Terengganu, 65 - 69,24.5,12.3,12.2
2015,Terengganu, 70 - 74,16.3,7.5,8.7
2015,Terengganu, 75 - 79,10.2,4.7,5.5
2015,Terengganu, 80 - 84,4.7,2.1,2.6
2015,Terengganu, 85+,4.5,2,2.5
2015,Sabah, 0 - 4,303.7,156.9,146.8
2015,Sabah, 5 - 9,316.5,161.4,155.1
2015,Sabah, 10 - 14,315.8,161.8,154
2015,Sabah, 15 - 19,424.7,223.2,201.4
2015,Sabah, 20 - 24,465.5,240.5,224.9
2015,Sabah, 25 - 29,453.9,235.7,218.2
2015,Sabah, 30 - 34,357.8,190.8,167
2015,Sabah, 35 - 39,261.6,138.6,123
2015,Sabah, 40 - 44,211.7,111.1,100.5
2015,Sabah, 45 - 49,172.9,91.9,81
2015,Sabah, 50 - 54,143.1,77.2,65.9
2015,Sabah, 55 - 59,108.9,58.2,50.7
2015,Sabah, 60 - 64,70.7,38.1,32.5
2015,Sabah, 65 - 69,44.7,22.5,22.2
2015,Sabah, 70 - 74,30.8,15.7,15.1
2015,Sabah, 75 - 79,19.3,9.3,9.9
2015,Sabah, 80 - 84,10.1,4.8,5.3
2015,Sabah, 85+,8.8,4.4,4.4
2015,Sarawak, 0 - 4,209.5,108.3,101.1
2015,Sarawak, 5 - 9,228.2,115.2,113
2015,Sarawak, 10 - 14,253.4,128.5,125
2015,Sarawak, 15 - 19,251.9,128.5,123.4
2015,Sarawak, 20 - 24,282,151.6,130.4
2015,Sarawak, 25 - 29,253.2,134.7,118.4
2015,Sarawak, 30 - 34,205.5,109.4,96.1
2015,Sarawak, 35 - 39,172.4,91.1,81.3
2015,Sarawak, 40 - 44,168.1,87.3,80.8
2015,Sarawak, 45 - 49,156.3,81.8,74.5
2015,Sarawak, 50 - 54,140,74.5,65.5
2015,Sarawak, 55 - 59,114.6,61,53.5
2015,Sarawak, 60 - 64,91.1,47.8,43.2
2015,Sarawak, 65 - 69,66.7,34.5,32.2
2015,Sarawak, 70 - 74,46.9,23.6,23.3
2015,Sarawak, 75 - 79,28.4,14,14.5
2015,Sarawak, 80 - 84,18.1,8.6,9.5
2015,Sarawak, 85+,15.3,7,8.2
2015,W.P. Kuala Lumpur, 0 - 4,129.2,66.4,62.9
2015,W.P. Kuala Lumpur, 5 - 9,120.8,62.8,58
2015,W.P. Kuala Lumpur, 10 - 14,124.1,64.3,59.9
2015,W.P. Kuala Lumpur, 15 - 19,114.5,57.5,57
2015,W.P. Kuala Lumpur, 20 - 24,169.2,87.5,81.7
2015,W.P. Kuala Lumpur, 25 - 29,191.2,97.1,94.1
2015,W.P. Kuala Lumpur, 30 - 34,191.4,96.9,94.5
2015,W.P. Kuala Lumpur, 35 - 39,155.8,82.8,73.1
2015,W.P. Kuala Lumpur, 40 - 44,124.4,64,60.4
2015,W.P. Kuala Lumpur, 45 - 49,115,53.5,61.6
2015,W.P. Kuala Lumpur, 50 - 54,100.6,54.8,45.8
2015,W.P. Kuala Lumpur, 55 - 59,79.9,42.3,37.6
2015,W.P. Kuala Lumpur, 60 - 64,59.9,30.4,29.6
2015,W.P. Kuala Lumpur, 65 - 69,44.5,22.7,21.7
2015,W.P. Kuala Lumpur, 70 - 74,27.6,13.6,13.9
2015,W.P. Kuala Lumpur, 75 - 79,17.7,9.3,8.3
2015,W.P. Kuala Lumpur, 80 - 84,7.9,3.8,4.1
2015,W.P. Kuala Lumpur, 85+,6.6,3.4,3.2
2015,W.P. Labuan, 0 - 4,8.8,4.5,4.3
2015,W.P. Labuan, 5 - 9,9.2,4.7,4.5
2015,W.P. Labuan, 10 - 14,8.6,4.4,4.2
2015,W.P. Labuan, 15 - 19,7.8,3.8,4
2015,W.P. Labuan, 20 - 24,8.7,4.1,4.7
2015,W.P. Labuan, 25 - 29,9.8,4.9,4.9
2015,W.P. Labuan, 30 - 34,11.5,5.9,5.6
2015,W.P. Labuan, 35 - 39,6.9,3.5,3.3
2015,W.P. Labuan, 40 - 44,5.8,2.8,3
2015,W.P. Labuan, 45 - 49,5,2.5,2.5
2015,W.P. Labuan, 50 - 54,4.4,2.4,2
2015,W.P. Labuan, 55 - 59,3.3,1.9,1.5
2015,W.P. Labuan, 60 - 64,2.2,1.2,1
2015,W.P. Labuan, 65 - 69,1.3,0.7,0.6
2015,W.P. Labuan, 70 - 74,0.8,0.4,0.4
2015,W.P. Labuan, 75 - 79,0.4,0.2,0.2
2015,W.P. Labuan, 80 - 84,0.2,0.1,0.1
2015,W.P. Labuan, 85+,0.4,0.2,0.2
2015,W.P. Putrajaya, 0 - 4,14.4,7.6,6.8
2015,W.P. Putrajaya, 5 - 9,10.1,5,5.2
2015,W.P. Putrajaya, 10 - 14,6.5,3,3.5
2015,W.P. Putrajaya, 15 - 19,4.7,2.3,2.4
2015,W.P. Putrajaya, 20 - 24,4,2,2
2015,W.P. Putrajaya, 25 - 29,6.4,2,4.4
2015,W.P. Putrajaya, 30 - 34,14,5.5,8.5
2015,W.P. Putrajaya, 35 - 39,7.8,3.6,4.1
2015,W.P. Putrajaya, 40 - 44,4.1,1.9,2.1
2015,W.P. Putrajaya, 45 - 49,3.2,1.5,1.7
2015,W.P. Putrajaya, 50 - 54,3.1,1.7,1.4
2015,W.P. Putrajaya, 55 - 59,2.8,1.4,1.4
2015,W.P. Putrajaya, 60 - 64,1.2,0.6,0.5
2015,W.P. Putrajaya, 65 - 69,0.4,0.2,0.2
2015,W.P. Putrajaya, 70 - 74,0.1,0.1,0.1
2015,W.P. Putrajaya, 75 - 79,0.1,0.1,0
2015,W.P. Putrajaya, 80 - 84,0.1,0,0
2015,W.P. Putrajaya, 85+,0.1,0,0.1
2016,Johor, 0 - 4,295.8,153.4,142.4
2016,Johor, 5 - 9,285.2,148.6,136.6
2016,Johor, 10 - 14,305.6,157.8,147.8
2016,Johor, 15 - 19,324.6,170.2,154.3
2016,Johor, 20 - 24,347.1,189.3,157.8
2016,Johor, 25 - 29,342.1,193.7,148.4
2016,Johor, 30 - 34,322.1,174.5,147.5
2016,Johor, 35 - 39,265.7,144.8,120.9
2016,Johor, 40 - 44,232.7,123,109.7
2016,Johor, 45 - 49,212.5,108.6,103.9
2016,Johor, 50 - 54,191.2,100.2,90.9
2016,Johor, 55 - 59,163.6,84,79.5
2016,Johor, 60 - 64,126.5,63.7,62.8
2016,Johor, 65 - 69,95.2,48.3,46.9
2016,Johor, 70 - 74,60,30.2,29.8
2016,Johor, 75 - 79,41.6,20.5,21.1
2016,Johor, 80 - 84,21.4,10.5,11
2016,Johor, 85+,19.1,9.6,9.4
2016,Kedah, 0 - 4,184.2,95,89.2
2016,Kedah, 5 - 9,174.9,90,84.9
2016,Kedah, 10 - 14,180.6,93,87.6
2016,Kedah, 15 - 19,217.4,114.4,103
2016,Kedah, 20 - 24,214.7,113.4,101.2
2016,Kedah, 25 - 29,180.5,95.4,85.1
2016,Kedah, 30 - 34,149,76.5,72.5
2016,Kedah, 35 - 39,129,66,62.9
2016,Kedah, 40 - 44,122.8,60.5,62.3
2016,Kedah, 45 - 49,118.3,57.2,61.1
2016,Kedah, 50 - 54,113.3,56,57.3
2016,Kedah, 55 - 59,101,49,52
2016,Kedah, 60 - 64,81.7,39.1,42.6
2016,Kedah, 65 - 69,60.9,29.5,31.4
2016,Kedah, 70 - 74,37.6,17.3,20.3
2016,Kedah, 75 - 79,29,12.6,16.4
2016,Kedah, 80 - 84,13.4,5.8,7.6
2016,Kedah, 85+,11.4,4.7,6.7
2016,Kelantan, 0 - 4,196,99.7,96.3
2016,Kelantan, 5 - 9,178.9,93.7,85.2
2016,Kelantan, 10 - 14,178.9,93.2,85.8
2016,Kelantan, 15 - 19,193.7,99.4,94.3
2016,Kelantan, 20 - 24,203.3,105.6,97.7
2016,Kelantan, 25 - 29,141.2,75.6,65.5
2016,Kelantan, 30 - 34,110.1,59,51.2
2016,Kelantan, 35 - 39,93.1,47.9,45.2
2016,Kelantan, 40 - 44,86.8,40.8,46
2016,Kelantan, 45 - 49,87.1,40.1,47
2016,Kelantan, 50 - 54,85.4,39.9,45.6
2016,Kelantan, 55 - 59,75.2,35.2,40
2016,Kelantan, 60 - 64,57.4,26.9,30.5
2016,Kelantan, 65 - 69,45.3,21.8,23.4
2016,Kelantan, 70 - 74,28.2,12.4,15.8
2016,Kelantan, 75 - 79,18.6,8.2,10.4
2016,Kelantan, 80 - 84,9.3,4,5.3
2016,Kelantan, 85+,8.3,3.4,4.9
2016,Melaka, 0 - 4,71.4,36.7,34.7
2016,Melaka, 5 - 9,68,34,34
2016,Melaka, 10 - 14,71.9,36.9,35.1
2016,Melaka, 15 - 19,78.9,41.5,37.5
2016,Melaka, 20 - 24,103.7,52.9,50.8
2016,Melaka, 25 - 29,89.8,47,42.8
2016,Melaka, 30 - 34,71.6,36.1,35.4
2016,Melaka, 35 - 39,55.1,28.1,27
2016,Melaka, 40 - 44,48.1,24.1,24
2016,Melaka, 45 - 49,50,23.1,26.9
2016,Melaka, 50 - 54,48.7,24.1,24.6
2016,Melaka, 55 - 59,42.4,20.8,21.6
2016,Melaka, 60 - 64,33.5,16.3,17.2
2016,Melaka, 65 - 69,27.3,12.7,14.7
2016,Melaka, 70 - 74,17.4,8.3,9.1
2016,Melaka, 75 - 79,11.9,5.6,6.3
2016,Melaka, 80 - 84,5.9,2.7,3.1
2016,Melaka, 85+,5.4,2.5,2.9
2016,Negeri Sembilan, 0 - 4,88,45.5,42.5
2016,Negeri Sembilan, 5 - 9,81.5,40.9,40.6
2016,Negeri Sembilan, 10 - 14,93.5,49.2,44.3
2016,Negeri Sembilan, 15 - 19,104.1,56.6,47.4
2016,Negeri Sembilan, 20 - 24,117.1,63.1,54
2016,Negeri Sembilan, 25 - 29,105.4,58.6,46.8
2016,Negeri Sembilan, 30 - 34,85.2,45.9,39.4
2016,Negeri Sembilan, 35 - 39,69.1,36.5,32.6
2016,Negeri Sembilan, 40 - 44,61.7,30.9,30.9
2016,Negeri Sembilan, 45 - 49,58.4,28.3,30.1
2016,Negeri Sembilan, 50 - 54,58.1,28.1,30
2016,Negeri Sembilan, 55 - 59,54.7,26.4,28.3
2016,Negeri Sembilan, 60 - 64,45.1,22.2,22.9
2016,Negeri Sembilan, 65 - 69,31.6,15.6,15.9
2016,Negeri Sembilan, 70 - 74,19.5,9.3,10.2
2016,Negeri Sembilan, 75 - 79,13.9,6.4,7.5
2016,Negeri Sembilan, 80 - 84,7.4,3.5,3.9
2016,Negeri Sembilan, 85+,5.1,2.2,2.9
2016,Pahang, 0 - 4,140.5,72.6,67.9
2016,Pahang, 5 - 9,142.5,74.6,67.9
2016,Pahang, 10 - 14,145.9,76.9,69
2016,Pahang, 15 - 19,153.9,81.5,72.4
2016,Pahang, 20 - 24,168.6,93.4,75.2
2016,Pahang, 25 - 29,150,85.6,64.4
2016,Pahang, 30 - 34,141.6,80.3,61.3
2016,Pahang, 35 - 39,105.2,59.6,45.6
2016,Pahang, 40 - 44,87.7,46.5,41.2
2016,Pahang, 45 - 49,81,41.2,39.8
2016,Pahang, 50 - 54,78.3,39,39.3
2016,Pahang, 55 - 59,70.4,35.2,35.3
2016,Pahang, 60 - 64,55.3,28,27.3
2016,Pahang, 65 - 69,45.1,22.7,22.4
2016,Pahang, 70 - 74,26.2,13.4,12.8
2016,Pahang, 75 - 79,18.2,8.9,9.4
2016,Pahang, 80 - 84,8.6,4.3,4.3
2016,Pahang, 85+,7.6,3.7,3.8
2016,Penang, 0 - 4,113,58.3,54.7
2016,Penang, 5 - 9,111.5,58.5,53.1
2016,Penang, 10 - 14,119.7,61.2,58.5
2016,Penang, 15 - 19,134.8,67.8,67
2016,Penang, 20 - 24,171.2,86.1,85.1
2016,Penang, 25 - 29,169.9,85.6,84.3
2016,Penang, 30 - 34,157.7,80.2,77.5
2016,Penang, 35 - 39,128.4,65.4,63
2016,Penang, 40 - 44,117.5,59.7,57.8
2016,Penang, 45 - 49,108.1,53.5,54.6
2016,Penang, 50 - 54,96.4,48.3,48.1
2016,Penang, 55 - 59,84.8,42.3,42.5
2016,Penang, 60 - 64,70.2,34.1,36.1
2016,Penang, 65 - 69,55.5,27.2,28.4
2016,Penang, 70 - 74,35.2,16.6,18.6
2016,Penang, 75 - 79,24,11.1,12.9
2016,Penang, 80 - 84,11.6,5.2,6.4
2016,Penang, 85+,8.2,3.7,4.5
2016,Perak, 0 - 4,176.7,89.3,87.4
2016,Perak, 5 - 9,176.9,90.5,86.4
2016,Perak, 10 - 14,213,107.2,105.8
2016,Perak, 15 - 19,241.3,120.9,120.4
2016,Perak, 20 - 24,250.3,128.2,122.2
2016,Perak, 25 - 29,218.5,120.8,97.7
2016,Perak, 30 - 34,166.1,86.6,79.5
2016,Perak, 35 - 39,141.3,73,68.3
2016,Perak, 40 - 44,134.2,68.2,66
2016,Perak, 45 - 49,140.3,67.9,72.4
2016,Perak, 50 - 54,141.8,70.4,71.4
2016,Perak, 55 - 59,132.2,66.3,65.9
2016,Perak, 60 - 64,111.9,55.1,56.8
2016,Perak, 65 - 69,92.7,44.6,48.1
2016,Perak, 70 - 74,60.1,29.1,31
2016,Perak, 75 - 79,45,20.6,24.5
2016,Perak, 80 - 84,24.4,10.8,13.6
2016,Perak, 85+,15.4,7.6,7.8
2016,Perlis, 0 - 4,21.5,11.1,10.4
2016,Perlis, 5 - 9,20.7,10.8,9.9
2016,Perlis, 10 - 14,19.9,10.1,9.8
2016,Perlis, 15 - 19,21.1,10.5,10.6
2016,Perlis, 20 - 24,30,14.7,15.3
2016,Perlis, 25 - 29,23.8,13.3,10.5
2016,Perlis, 30 - 34,18.2,9.2,8.9
2016,Perlis, 35 - 39,13.5,6.7,6.8
2016,Perlis, 40 - 44,12.1,5.5,6.6
2016,Perlis, 45 - 49,13,6.2,6.8
2016,Perlis, 50 - 54,13.5,6.6,7
2016,Perlis, 55 - 59,12.3,5.9,6.5
2016,Perlis, 60 - 64,10.4,5,5.4
2016,Perlis, 65 - 69,8.1,3.8,4.2
2016,Perlis, 70 - 74,5.3,2.5,2.8
2016,Perlis, 75 - 79,3.9,1.8,2.1
2016,Perlis, 80 - 84,1.9,0.9,1.1
2016,Perlis, 85+,1.7,0.7,1
2016,Selangor, 0 - 4,538.5,282.4,256.1
2016,Selangor, 5 - 9,481.4,249.8,231.6
2016,Selangor, 10 - 14,471,240.7,230.3
2016,Selangor, 15 - 19,454.1,233,221.1
2016,Selangor, 20 - 24,574.9,300.6,274.3
2016,Selangor, 25 - 29,727.6,383,344.6
2016,Selangor, 30 - 34,701.2,365.6,335.7
2016,Selangor, 35 - 39,539.6,284.9,254.7
2016,Selangor, 40 - 44,434.7,228,206.7
2016,Selangor, 45 - 49,360.4,187.6,172.8
2016,Selangor, 50 - 54,303.5,160,143.5
2016,Selangor, 55 - 59,239.9,125.5,114.3
2016,Selangor, 60 - 64,175.9,90.6,85.3
2016,Selangor, 65 - 69,132.5,64.5,68
2016,Selangor, 70 - 74,72.4,35.2,37.2
2016,Selangor, 75 - 79,44.4,21.3,23.1
2016,Selangor, 80 - 84,20.6,9.9,10.7
2016,Selangor, 85+,19,9.1,9.9
2016,Terengganu, 0 - 4,130.7,67.4,63.3
2016,Terengganu, 5 - 9,116.4,59.3,57
2016,Terengganu, 10 - 14,116.2,59.8,56.5
2016,Terengganu, 15 - 19,120.4,61.4,59
2016,Terengganu, 20 - 24,128,66,62
2016,Terengganu, 25 - 29,108.9,58,50.9
2016,Terengganu, 30 - 34,82,44.4,37.6
2016,Terengganu, 35 - 39,64.5,33.2,31.3
2016,Terengganu, 40 - 44,59.1,29,30.1
2016,Terengganu, 45 - 49,56.8,27.5,29.3
2016,Terengganu, 50 - 54,55.2,26.9,28.3
2016,Terengganu, 55 - 59,47.2,23.1,24.1
2016,Terengganu, 60 - 64,35.3,17.5,17.8
2016,Terengganu, 65 - 69,25.8,13,12.8
2016,Terengganu, 70 - 74,16.7,7.7,9
2016,Terengganu, 75 - 79,10.9,5,5.9
2016,Terengganu, 80 - 84,4.9,2.2,2.7
2016,Terengganu, 85+,4.5,2,2.4
2016,Sabah, 0 - 4,312.8,161.9,150.9
2016,Sabah, 5 - 9,313.5,159.7,153.8
2016,Sabah, 10 - 14,314,161.1,152.9
2016,Sabah, 15 - 19,432.4,227.6,204.9
2016,Sabah, 20 - 24,473.4,245.1,228.3
2016,Sabah, 25 - 29,467.4,242.7,224.7
2016,Sabah, 30 - 34,365.9,195.9,170
2016,Sabah, 35 - 39,276.3,146.4,129.9
2016,Sabah, 40 - 44,215.7,113.4,102.3
2016,Sabah, 45 - 49,175.7,93.1,82.7
2016,Sabah, 50 - 54,146.9,78.8,68.1
2016,Sabah, 55 - 59,113.8,60.6,53.3
2016,Sabah, 60 - 64,76.3,41.1,35.2
2016,Sabah, 65 - 69,47.3,24,23.3
2016,Sabah, 70 - 74,31.7,16,15.6
2016,Sabah, 75 - 79,20,9.7,10.3
2016,Sabah, 80 - 84,10.3,4.8,5.4
2016,Sabah, 85+,9.3,4.6,4.7
2016,Sarawak, 0 - 4,205.3,106.1,99.1
2016,Sarawak, 5 - 9,223.3,113,110.2
2016,Sarawak, 10 - 14,248.5,125,123.5
2016,Sarawak, 15 - 19,256.6,132.1,124.5
2016,Sarawak, 20 - 24,286.7,154.7,131.9
2016,Sarawak, 25 - 29,261,139.7,121.4
2016,Sarawak, 30 - 34,213.6,113,100.6
